Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Cabin,Embarked
1,3,female,23.0,0,0,CA. 2314,,S
0,3,male,,0,0,349221,,S
1,2,female,18.0,0,1,231919,,S
0,3,male,21.0,0,0,8475,,S
1,3,female,,0,0,330919,,Q
0,3,female,18.0,0,0,365226,,Q
0,2,male,24.0,2,0,S.O.C. 14879,,S
0,3,male,,0,0,349223,,S
0,3,female,32.0,1,1,364849,,Q
0,2,male,23.0,0,0,29751,,S
0,1,male,58.0,0,2,35273,D48,C
1,1,male,50.0,2,0,PC 17611,,S
0,3,male,40.0,0,0,2623,,C
0,1,male,47.0,0,0,5727,E58,S
0,3,male,36.0,0,0,349210,,S
1,3,male,20.0,1,0,STON/O 2. 3101285,,S
0,2,male,32.0,2,0,S.O.C. 14879,,S
0,2,male,25.0,0,0,234686,,S
0,3,male,,0,0,312993,,S
0,3,male,43.0,0,0,A/5 3536,,S
1,1,female,,1,0,19996,C126,S
1,2,female,40.0,1,1,29750,,S
0,1,male,31.0,1,0,F.C. 12750,B71,S
0,2,male,70.0,0,0,C.A. 24580,,S
1,2,male,31.0,0,0,244270,,S
0,2,male,,0,0,239856,,S
0,3,male,18.0,0,0,349912,,S
0,3,male,24.5,0,0,342826,,S
1,3,female,18.0,0,0,4138,,S
0,3,female,43.0,1,6,CA 2144,,S
1,1,male,36.0,0,1,PC 17755,B51 B53 B55,C
0,3,female,,0,0,330935,,Q
1,1,male,27.0,0,0,PC 17572,D49,C
0,3,male,20.0,0,0,6563,,S
0,3,male,14.0,5,2,CA 2144,,S
0,2,male,60.0,1,1,29750,,S
0,2,male,25.0,1,2,SC/Paris 2123,,C
0,3,male,14.0,4,1,3101295,,S
0,3,male,19.0,0,0,349228,,S
0,3,male,18.0,0,0,350036,,S
1,1,female,15.0,0,1,24160,B5,S
1,1,male,31.0,1,0,17474,B20,S
1,3,female,4.0,0,1,349256,,C
1,3,male,,0,0,1601,,S
0,3,male,25.0,0,0,2672,,C
0,1,male,60.0,0,0,113800,,S
0,2,male,52.0,0,0,248731,,S
0,3,male,44.0,0,0,363592,,S
1,3,female,,0,0,35852,,Q
0,1,male,49.0,1,1,17421,C68,C
0,3,male,42.0,0,0,348121,F G63,S
1,1,female,18.0,1,0,PC 17757,C62 C64,C
1,1,male,35.0,0,0,PC 17475,E24,S
0,3,female,18.0,0,1,2691,,C
0,3,male,25.0,0,0,36864,,Q
0,3,male,26.0,1,0,350025,,S
0,2,male,39.0,0,0,250655,,S
1,2,female,45.0,0,0,223596,,S
1,1,male,42.0,0,0,PC 17476,E24,S
1,1,female,22.0,0,0,113781,,S
1,3,male,,1,1,2661,,C
1,1,female,24.0,0,0,PC 17482,C90,C
0,1,male,,0,0,113028,C124,S
1,1,male,48.0,1,0,19996,C126,S
0,3,male,29.0,0,0,7545,,S
0,2,male,52.0,0,0,250647,,S
0,3,male,19.0,0,0,348124,F G73,S
1,1,female,38.0,0,0,PC 17757,C45,C
1,2,female,27.0,0,0,34218,E101,S
0,3,male,,0,0,36568,,Q
0,3,male,33.0,0,0,347062,,S
1,2,female,6.0,0,1,248727,,S
0,3,male,17.0,1,0,350048,,S
0,2,male,34.0,0,0,12233,,S
0,2,male,50.0,0,0,250643,,S
1,1,male,27.0,1,0,113806,E8,S
0,3,male,20.0,0,0,315094,,S
1,2,female,30.0,3,0,31027,,S
1,3,female,,0,0,36866,,Q
0,2,male,25.0,1,0,236853,,S
0,3,female,25.0,1,0,STON/O2. 3101271,,S
1,1,female,29.0,0,0,24160,B5,S
0,3,male,11.0,0,0,2699,,C
0,2,male,,0,0,239855,,S
0,2,male,23.0,0,0,28425,,S
0,2,male,23.0,0,0,233639,,S
0,3,male,28.5,0,0,54636,,S
0,3,female,48.0,1,3,W./C. 6608,,S
1,1,male,35.0,0,0,PC 17755,B101,C
0,3,male,,0,0,349201,,S
0,3,male,,0,0,349218,,S
1,1,male,,0,0,16988,D45,S
0,1,male,36.0,1,0,19877,C46,S
1,1,female,21.0,2,2,PC 17608,B57 B59 B63 B66,C
0,3,male,24.0,1,0,376566,,S
1,3,male,31.0,0,0,STON/O 2. 3101288,,S
0,1,male,70.0,1,1,WE/P 5735,B22,S
0,3,male,16.0,1,1,C.A. 2673,,S
1,2,female,30.0,0,0,250648,,S
0,1,male,19.0,1,0,113773,D30,S
0,3,male,31.0,0,0,335097,,Q
1,2,female,4.0,1,1,29103,,S
1,3,male,6.0,0,1,392096,E121,S
0,3,male,33.0,0,0,345780,,S
0,3,male,23.0,0,0,349204,,S
1,2,female,48.0,1,2,220845,,S
1,2,male,0.67,1,1,250649,,S
0,3,male,28.0,0,0,350042,,S
0,2,male,18.0,0,0,29108,,S
0,3,male,34.0,0,0,363294,,S
1,1,female,33.0,0,0,110152,B77,S
0,3,male,,0,0,358585,,S
0,3,male,41.0,0,0,SOTON/O2 3101272,,S
1,3,male,20.0,0,0,2663,,C
1,1,female,36.0,1,2,113760,B96 B98,S
0,3,male,16.0,0,0,347074,,S
1,1,female,51.0,1,0,13502,D11,S
0,1,male,,0,0,112379,,C
0,3,female,30.5,0,0,364850,,Q
0,3,male,,1,0,371110,,Q
0,3,male,32.0,0,0,8471,,S
0,3,male,24.0,0,0,345781,,S
0,3,male,48.0,0,0,350047,,S
0,2,female,57.0,0,0,S.O./P.P. 3,E77,S
0,3,male,,0,0,2674,,C
1,2,female,54.0,1,3,29105,,S
0,3,male,18.0,0,0,347078,,S
0,3,male,,0,0,383121,F38,Q
1,3,female,5.0,0,0,364516,,S
0,3,male,,0,0,36865,,Q
1,1,female,43.0,0,1,24160,B3,S
1,3,female,13.0,0,0,2687,,C
1,1,female,17.0,1,0,17474,B20,S
0,1,male,29.0,0,0,113501,D6,S
0,3,male,,1,2,W./C. 6607,,S
0,3,male,25.0,0,0,SOTON/O.Q. 3101312,,S
0,3,male,25.0,0,0,374887,,S
1,3,female,18.0,0,0,3101265,,S
0,3,male,8.0,4,1,382652,,Q
1,3,male,1.0,1,2,C.A. 2315,,S
0,1,male,46.0,0,0,PC 17593,B82 B84,C
0,3,male,,0,0,12460,,Q
0,2,male,16.0,0,0,239865,,S
0,3,female,,8,2,CA. 2343,,S
0,1,male,,0,0,PC 17600,,C
0,3,male,25.0,0,0,349203,,S
0,2,male,39.0,0,0,28213,,S
1,1,female,49.0,0,0,17465,D17,S
1,3,female,31.0,0,0,349244,,S
0,3,male,30.0,0,0,2685,,C
0,3,female,30.0,1,1,345773,,S
0,2,male,34.0,0,0,250647,,S
1,2,female,31.0,1,1,C.A. 31921,,S
1,1,male,11.0,1,2,113760,B96 B98,S
1,3,male,0.42,0,1,2625,,C
1,3,male,27.0,0,0,347089,,S
0,3,male,31.0,0,0,347063,,S
0,1,male,39.0,0,0,112050,A36,S
0,3,female,18.0,0,0,347087,,S
0,2,male,39.0,0,0,248723,,S
1,1,female,33.0,1,0,113806,E8,S
0,3,male,26.0,0,0,3474,,S
0,3,male,39.0,0,0,A/4 48871,,S
0,2,male,35.0,0,0,28206,,S
0,3,female,6.0,4,2,347082,,S
0,3,male,30.5,0,0,364499,,S
0,1,male,,0,0,112058,B102,S
0,3,female,23.0,0,0,STON/O2. 3101290,,S
0,2,male,31.0,1,1,S.C./PARIS 2079,,C
0,3,male,43.0,0,0,C 7075,,S
0,3,male,10.0,3,2,347088,,S
1,1,female,52.0,1,1,12749,B69,S
1,3,male,27.0,0,0,315098,,S
0,1,male,38.0,0,0,19972,,S
1,3,female,27.0,0,1,392096,E121,S
0,3,male,2.0,4,1,3101295,,S
0,3,male,,0,0,368323,,Q
0,3,male,,0,0,1601,,S
1,2,male,1.0,0,2,S.C./PARIS 2079,,C
1,3,male,,0,0,367228,,Q
1,1,female,62.0,0,0,113572,B28,
1,3,female,15.0,1,0,2659,,C
1,2,male,0.83,1,1,29106,,S
0,3,male,,0,0,2671,,C
0,3,male,23.0,0,0,347468,,S
0,3,male,18.0,0,0,2223,,S
1,1,female,39.0,1,1,PC 17756,E49,C
0,3,male,21.0,0,0,315097,,S
0,3,male,,0,0,392092,,S
1,3,male,32.0,0,0,1601,,S
1,1,male,,0,0,11774,C47,C
0,3,male,20.0,0,0,SOTON/O2 3101287,,S
0,2,male,16.0,0,0,S.O./P.P. 3,,S
1,1,female,30.0,0,0,113798,,C
0,3,male,34.5,0,0,2683,,C
0,3,male,17.0,0,0,315090,,S
0,3,male,42.0,0,0,C.A. 5547,,S
0,3,male,,8,2,CA. 2343,,S
0,3,male,35.0,0,0,349213,,C
0,2,male,28.0,0,1,248727,,S
1,1,female,,1,0,17453,C92,C
0,3,male,4.0,4,2,347082,,S
0,3,male,74.0,0,0,347060,,S
0,3,female,9.0,1,1,2678,,C
1,1,female,16.0,0,1,PC 17592,D28,S
0,2,female,44.0,1,0,244252,,S
1,3,female,18.0,0,1,392091,,S
1,1,female,45.0,1,1,36928,,S
1,1,male,51.0,0,0,113055,E17,S
1,3,female,24.0,0,3,2666,,C
0,3,male,,0,0,2629,,C
0,3,male,41.0,2,0,350026,,S
0,2,male,21.0,1,0,28134,,S
1,1,female,48.0,0,0,17466,D17,S
0,3,female,,8,2,CA. 2343,,S
0,2,male,24.0,0,0,233866,,S
1,2,female,42.0,0,0,236852,,S
1,2,female,27.0,1,0,SC/PARIS 2149,,C
0,1,male,31.0,0,0,PC 17590,A24,S
0,3,male,,0,0,345777,,S
1,3,male,4.0,1,1,347742,,S
0,3,male,26.0,0,0,349248,,S
1,1,female,47.0,1,1,11751,D35,S
0,1,male,33.0,0,0,695,B51 B53 B55,S
0,3,male,47.0,0,0,345765,,S
1,2,female,28.0,1,0,P/PP 3381,,C
1,3,female,15.0,0,0,2667,,C
0,3,male,20.0,0,0,7534,,S
0,3,male,19.0,0,0,349212,,S
0,3,male,,0,0,349217,,S
1,1,female,56.0,0,1,11767,C50,C
1,2,female,25.0,0,1,230433,,S
0,3,male,33.0,0,0,349257,,S
0,3,female,22.0,0,0,7552,,S
0,2,male,28.0,0,0,C.A./SOTON 34068,,S
0,3,male,25.0,0,0,SOTON/OQ 392076,,S
0,3,female,39.0,0,5,382652,,Q
0,2,male,27.0,0,0,211536,,S
1,1,female,19.0,0,0,112053,B42,S
0,3,female,,1,2,W./C. 6607,,S
1,1,male,26.0,0,0,111369,C148,C
0,3,male,32.0,0,0,370376,,Q
